Match;Team_Name;Result;Player_Name;Hero_Pick;Emblem;Kill;Player_Role
1;Geek Fam;Victory;Reyy;Ling;Assasin;4;Jungler
1;Geek Fam;Victory;Luke;Barats;Common;1;Explane
1;Geek Fam;Victory;Aboy;Faramis;Mage;2;Midlane
1;Geek Fam;Victory;Baloyskie;Helcurt;Assasin;6;Roamer
1;Geek Fam;Victory;Caderaa;Harith;Mage;5;Goldlane
1;RRQ Hoshi;Defeat;Vyn;Minotaur;Tank;0;Roamer
1;RRQ Hoshi;Defeat;Clayyy;Valentina;Mage;0;Midlane
1;RRQ Hoshi;Defeat;Skylar;Roger;Assasin;2;Goldlane
1;RRQ Hoshi;Defeat;Donn;Esmeralda;Support;0;Explane
1;RRQ Hoshi;Defeat;1rrad;Baxia;Tank;2;Jungler
2;Geek Fam;Victory;Reyy;Baxia;Tank;2;Jungler
2;Geek Fam;Victory;Luke;Ruby;Fighter;1;Explane
2;Geek Fam;Victory;Aboy;Angela;Mage;3;Midlane
2;Geek Fam;Victory;Baloyskie;Helcurt;Assasin;7;Roamer
2;Geek Fam;Victory;Caderaa;Harith;Mage;2;Goldlane
2;RRQ Hoshi;Defeat;Vyn;Mathilda;Support;2;Roamer
2;RRQ Hoshi;Defeat;Clayyy;Luo Yi;Mage;2;Midlane
2;RRQ Hoshi;Defeat;Skylar;Karrie;Common;0;Goldlane
2;RRQ Hoshi;Defeat;Donn;Thamuz;Fighter;1;Explane
2;RRQ Hoshi;Defeat;1rrad;Fredrinn;Tank;0;Jungler
3;Geek Fam;Defeat;Reyy;Barats;Tank;1;Jungler
3;Geek Fam;Defeat;Luke;Yu Zhong;Fighter;3;Explane
3;Geek Fam;Defeat;Aboy;Luo Yi;Mage;5;Midlane
3;Geek Fam;Defeat;Baloyskie;Mathilda;Support;2;Roamer
3;Geek Fam;Defeat;Caderaa;Natan;Mage;4;Goldlane
3;RRQ Hoshi;Victory;Vyn;Chip;Tank;2;Roamer
3;RRQ Hoshi;Victory;Clayyy;Vexana;Mage;5;Midlane
3;RRQ Hoshi;Victory;Skylar;Roger;Assasin;6;Goldlane
3;RRQ Hoshi;Victory;Donn;Esmeralda;Support;5;Explane
