journal_id,name,institution,sinta_url,accreditation,subject_area,p_issn,e_issn,link_google_scholar,link_garuda,link_website,impact_factor,total_citations,gs_citations_all,gs_citations_since_2020,gs_h_index_all,gs_h_index_since_2020,gs_i10_index_all,gs_i10_index_since_2020
1,Jurnal Pendidikan Sains,PASCASARJANA UNIVERSITAS NEGERI MALANG,https://sinta.kemdikbud.go.id/journals/profile/1,Sinta 3,Education,24423904,24423904,https://scholar.google.co.id/citations?user=jTzxi1oAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/4795,http://journal.um.ac.id/index.php/jps/index,0.2,2494.0,2494.0,1958.0,25.0,22.0,69.0,55.0
2,"Ar-Raniry, International Journal of Islamic Studies",UNIVERSITAS ISLAM NEGERI AR-RANIRY,https://sinta.kemdikbud.go.id/journals/profile/2,Sinta 3,"Religion, Education",2355813,2355813,https://scholar.google.co.id/citations?user=rplWY6EAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/5936,http://journalarraniry.com/ojs/index.php/jar/index,0.0,404.0,404.0,365.0,7.0,6.0,6.0,5.0
3,Geomatika,BADAN INFORMASI GEOSPASIAL,https://sinta.kemdikbud.go.id/journals/profile/3,Sinta 2,"Science, Education",08542759,25022180,https://scholar.google.co.id/citations?user=PFCRQ6YAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/10834,http://jurnal.big.go.id/index.php/GM/index,1.0,910.0,910.0,624.0,13.0,11.0,26.0,14.0
4,International Journal of Agriculture System,HASANUDDIN UNIVERSITY,https://sinta.kemdikbud.go.id/journals/profile/4,Sinta 3,"Science, Agriculture, Social, Engineering",23379782,25806815,https://scholar.google.co.id/citations?user=PAwbnSAAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/27232,http://pasca.unhas.ac.id/ojs/index.php/ijas/issue/archive,0.0,219.0,219.0,136.0,8.0,6.0,7.0,4.0
5,Sinergi,UNIVERSITAS MERCU BUANA,https://sinta.kemdikbud.go.id/journals/profile/5,Sinta 1,Engineering,14102331,24601217,https://scholar.google.co.id/citations?user=vVtTIPwAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/7211,https://publikasi.mercubuana.ac.id/index.php/sinergi,2.72951,2321.0,2321.0,2143.0,21.0,20.0,74.0,66.0
6,AGRISE,UNIVERSITAS BRAWIJAYA,https://sinta.kemdikbud.go.id/journals/profile/6,Sinta 3,"Economy, Agriculture",14121425,22526757,#!,https://garuda.kemdikbud.go.id/journal/view/7372,https://agrise.ub.ac.id/index.php/agrise/index,1.175,1060.0,1060.0,894.0,15.0,14.0,33.0,26.0
7,JEMIS (Journal of Engineering & Management in Industrial System),JURUSAN TEKNIK INDUSTRI,https://sinta.kemdikbud.go.id/journals/profile/7,Sinta 2,Engineering,23383925,24776025,#!,https://garuda.kemdikbud.go.id/journal/view/7016,https://jemis.ub.ac.id/index.php/jemis,1.57143,1001.0,1001.0,857.0,18.0,15.0,36.0,34.0
8,REID (Research and Evaluation in Education),PROGRAM PASCASARJANA UNIVERSITAS NEGERI YOGYAKARTA,https://sinta.kemdikbud.go.id/journals/profile/8,Sinta 2,Education,24606995,24606995,https://scholar.google.co.id/citations?user=r4GYeqYAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/10466,http://journal.uny.ac.id/index.php/reid,2.58974,1437.0,1437.0,1370.0,18.0,17.0,44.0,42.0
9,"GUIDENA: Jurnal Ilmu Pendidikan, Psikologi, Bimbingan dan Konseling",PROGRAM STUDI BIMBINGAN DAN KONSELING UNIVERSITAS MUHAMMADIYAH METRO BEKERJASAMA DENGAN ASOSIASI BIMBINGAN DAN KONSELING INDONESIA,https://sinta.kemdikbud.go.id/journals/profile/9,Sinta 3,"Education, Social",24427802,24427802,https://scholar.google.co.id/citations?user=tmD34ucAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/13044,http://ojs.fkip.ummetro.ac.id/index.php/bk/,0.0,901.0,901.0,773.0,16.0,15.0,29.0,24.0
10,Journal of Indonesian Tourism and Development Studies,"PROGRAM PASCASARJANA, UNIVERSITAS BRAWIJAYA",https://sinta.kemdikbud.go.id/journals/profile/10,Sinta 3,,23553979,23381647,https://scholar.google.co.id/citations?user=_heCq_0AAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/6186,http://jitode.ub.ac.id/index.php/jitode,0.0,2025.0,2025.0,1773.0,22.0,20.0,65.0,61.0
